0;человек;{"word":"человек"}
1;время;{"word":"время"}
2;жизнь;{"word":"жизнь"}
3;работа;{"word":"работа"}
4;слово;{"word":"слово"}
5;место;{"word":"место"}
6;вопрос;{"word":"вопрос"}
7;сторона;{"word":"сторона"}
8;страна;{"word":"страна"}
9;случай;{"word":"случай"}
10;конец;{"word":"конец"}
11;система;{"word":"система"}
12;часть;{"word":"часть"}
13;город;{"word":"город"}
14;отношение;{"word":"отношение"}
15;женщина;{"word":"женщина"}
16;машина;{"word":"машина"}
17;проблема;{"word":"проблема"}
18;решение;{"word":"решение"}
19;дверь;{"word":"дверь"}
20;история;{"word":"история"}
21;власть;{"word":"власть"}
22;закон;{"word":"закон"}
23;война;{"word":"война"}
24;голос;{"word":"голос"}
25;книга;{"word":"книга"}
26;возможность;{"word":"возможность"}
27;результат;{"word":"результат"}
28;область;{"word":"область"}
29;статья;{"word":"статья"}
30;число;{"word":"число"}
31;компания;{"word":"компания"}
32;народ;{"word":"народ"}
33;группа;{"word":"группа"}
34;развитие;{"word":"развитие"}
35;процесс;{"word":"процесс"}
36;условие;{"word":"условие"}
37;средство;{"word":"средство"}
38;уровень;{"word":"уровень"}
39;форма;{"word":"форма"}
40;связь;{"word":"связь"}
41;минута;{"word":"минута"}
42;улица;{"word":"улица"}
43;вечер;{"word":"вечер"}
44;качество;{"word":"качество"}
45;дорога;{"word":"дорога"}
46;действие;{"word":"действие"}
47;государство;{"word":"государство"}
48;любовь;{"word":"любовь"}
49;взгляд;{"word":"взгляд"}
50;школа;{"word":"школа"}
51;общество;{"word":"общество"}
52;деятельность;{"word":"деятельность"}
53;организация;{"word":"организация"}
54;президент;{"word":"президент"}
55;комната;{"word":"комната"}
56;порядок;{"word":"порядок"}
57;момент;{"word":"момент"}
58;театр;{"word":"театр"}
59;письмо;{"word":"письмо"}
60;помощь;{"word":"помощь"}
61;ситуация;{"word":"ситуация"}
62;рубль;{"word":"рубль"}
63;состояние;{"word":"состояние"}
64;квартира;{"word":"квартира"}
65;внимание;{"word":"внимание"}
66;программа;{"word":"программа"}
67;задача;{"word":"задача"}
68;предприятие;{"word":"предприятие"}
69;разговор;{"word":"разговор"}
70;правительство;{"word":"правительство"}
71;семья;{"word":"семья"}
72;производство;{"word":"производство"}
73;информация;{"word":"информация"}
74;положение;{"word":"положение"}
75;центр;{"word":"центр"}
76;ответ;{"word":"ответ"}
77;интерес;{"word":"интерес"}
78;федерация;{"word":"федерация"}
79;управление;{"word":"управление"}
80;мужчина;{"word":"мужчина"}
81;совет;{"word":"совет"}
82;сердце;{"word":"сердце"}
83;движение;{"word":"движение"}
84;материал;{"word":"материал"}
85;чувство;{"word":"чувство"}
86;неделя;{"word":"неделя"}
87;наука;{"word":"наука"}
88;газета;{"word":"газета"}
89;причина;{"word":"причина"}
90;плечо;{"word":"плечо"}
91;точка;{"word":"точка"}
92;основа;{"word":"основа"}
93;товарищ;{"word":"товарищ"}
94;культура;{"word":"культура"}
95;мнение;{"word":"мнение"}
96;документ;{"word":"документ"}
97;институт;{"word":"институт"}
98;проект;{"word":"проект"}
99;встреча;{"word":"встреча"}
100;палец;{"word":"палец"}
101;служба;{"word":"служба"}
102;судьба;{"word":"судьба"}
103;девушка;{"word":"девушка"}
104;очередь;{"word":"очередь"}
105;состав;{"word":"состав"}
106;количество;{"word":"количество"}
107;объект;{"word":"объект"}
108;создание;{"word":"создание"}
109;значение;{"word":"значение"}
110;период;{"word":"период"}
111;искусство;{"word":"искусство"}
112;структура;{"word":"структура"}
113;пример;{"word":"пример"}
114;номер;{"word":"номер"}
115;исследование;{"word":"исследование"}
116;гражданин;{"word":"гражданин"}
117;начальник;{"word":"начальник"}
118;принцип;{"word":"принцип"}
119;метод;{"word":"метод"}
120;фильм;{"word":"фильм"}
121;гость;{"word":"гость"}
122;воздух;{"word":"воздух"}
123;характер;{"word":"характер"}
124;борьба;{"word":"борьба"}
125;размер;{"word":"размер"}
126;образование;{"word":"образование"}
127;мальчик;{"word":"мальчик"}
128;район;{"word":"район"}
129;кровь;{"word":"кровь"}
130;армия;{"word":"армия"}
131;класс;{"word":"класс"}
132;представитель;{"word":"представитель"}
133;участие;{"word":"участие"}
134;девочка;{"word":"девочка"}
135;герой;{"word":"герой"}
136;картина;{"word":"картина"}
137;спина;{"word":"спина"}
138;доллар;{"word":"доллар"}
139;территория;{"word":"территория"}
140;изменение;{"word":"изменение"}
141;течение;{"word":"течение"}
142;рисунок;{"word":"рисунок"}
143;направление;{"word":"направление"}
144;церковь;{"word":"церковь"}
145;сцена;{"word":"сцена"}
146;население;{"word":"население"}
147;большинство;{"word":"большинство"}
148;свобода;{"word":"свобода"}
149;память;{"word":"память"}
150;команда;{"word":"команда"}
151;договор;{"word":"договор"}
152;дерево;{"word":"дерево"}
153;хозяин;{"word":"хозяин"}
154;природа;{"word":"природа"}
155;телефон;{"word":"телефон"}
156;позиция;{"word":"позиция"}
157;писатель;{"word":"писатель"}
158;солнце;{"word":"солнце"}
159;спектакль;{"word":"спектакль"}
160;берег;{"word":"берег"}
161;фирма;{"word":"фирма"}
162;способ;{"word":"способ"}
163;руководитель;{"word":"руководитель"}
164;журнал;{"word":"журнал"}
165;специалист;{"word":"специалист"}
166;оценка;{"word":"оценка"}
167;регион;{"word":"регион"}
168;процент;{"word":"процент"}
169;песня;{"word":"песня"}
170;родитель;{"word":"родитель"}
171;требование;{"word":"требование"}
172;половина;{"word":"половина"}
173;основание;{"word":"основание"}
174;роман;{"word":"роман"}
175;анализ;{"word":"анализ"}
176;автомобиль;{"word":"автомобиль"}
177;экономика;{"word":"экономика"}
178;литература;{"word":"литература"}
179;бумага;{"word":"бумага"}
180;степень;{"word":"степень"}
181;господин;{"word":"господин"}
182;надежда;{"word":"надежда"}
183;предмет;{"word":"предмет"}
184;министр;{"word":"министр"}
185;вариант;{"word":"вариант"}
186;граница;{"word":"граница"}
187;модель;{"word":"модель"}
188;операция;{"word":"операция"}
189;название;{"word":"название"}
190;миллион;{"word":"миллион"}
191;успех;{"word":"успех"}
192;счастье;{"word":"счастье"}
193;ребята;{"word":"ребята"}
194;кабинет;{"word":"кабинет"}
195;пространство;{"word":"пространство"}
196;магазин;{"word":"магазин"}
197;знание;{"word":"знание"}
198;текст;{"word":"текст"}
199;защита;{"word":"защита"}
200;руководство;{"word":"руководство"}
201;сознание;{"word":"сознание"}
202;площадь;{"word":"площадь"}
203;возраст;{"word":"возраст"}
204;участок;{"word":"участок"}
205;участник;{"word":"участник"}
206;пункт;{"word":"пункт"}
207;линия;{"word":"линия"}
208;желание;{"word":"желание"}
209;доктор;{"word":"доктор"}
210;председатель;{"word":"председатель"}
211;художник;{"word":"художник"}
212;солдат;{"word":"солдат"}
213;представление;{"word":"представление"}
214;оружие;{"word":"оружие"}
215;соответствие;{"word":"соответствие"}
216;парень;{"word":"парень"}
217;ветер;{"word":"ветер"}
218;зрение;{"word":"зрение"}
219;генерал;{"word":"генерал"}
220;строительство;{"word":"строительство"}
221;понятие;{"word":"понятие"}
222;грудь;{"word":"грудь"}
223;услуга;{"word":"услуга"}
224;содержание;{"word":"содержание"}
225;радость;{"word":"радость"}
226;безопасность;{"word":"безопасность"}
227;продукт;{"word":"продукт"}
228;комплекс;{"word":"комплекс"}
229;бизнес;{"word":"бизнес"}
230;сотрудник;{"word":"сотрудник"}
231;технология;{"word":"технология"}
232;реформа;{"word":"реформа"}
233;отсутствие;{"word":"отсутствие"}
234;собака;{"word":"собака"}
235;камень;{"word":"камень"}
236;рассказ;{"word":"рассказ"}
237;контроль;{"word":"контроль"}
238;продукция;{"word":"продукция"}
239;сумма;{"word":"сумма"}
240;техника;{"word":"техника"}
241;здание;{"word":"здание"}
242;сфера;{"word":"сфера"}
243;необходимость;{"word":"необходимость"}
244;подготовка;{"word":"подготовка"}
245;республика;{"word":"республика"}
246;хозяйство;{"word":"хозяйство"}
247;бюджет;{"word":"бюджет"}
248;деревня;{"word":"деревня"}
249;мужик;{"word":"мужик"}
250;элемент;{"word":"элемент"}
251;обстоятельство;{"word":"обстоятельство"}
252;немец;{"word":"немец"}
253;победа;{"word":"победа"}
254;источник;{"word":"источник"}
255;звезда;{"word":"звезда"}
256;масса;{"word":"масса"}
257;сестра;{"word":"сестра"}
258;практика;{"word":"практика"}
259;проведение;{"word":"проведение"}
260;карман;{"word":"карман"}
261;слава;{"word":"слава"}
262;определение;{"word":"определение"}
263;кухня;{"word":"кухня"}
264;функция;{"word":"функция"}
265;войско;{"word":"войско"}
266;применение;{"word":"применение"}
267;комиссия;{"word":"комиссия"}
268;работник;{"word":"работник"}
269;капитан;{"word":"капитан"}
270;обеспечение;{"word":"обеспечение"}
271;офицер;{"word":"офицер"}
272;фамилия;{"word":"фамилия"}
273;предел;{"word":"предел"}
274;теория;{"word":"теория"}
275;отдел;{"word":"отдел"}
276;разработка;{"word":"разработка"}
277;личность;{"word":"личность"}
278;товар;{"word":"товар"}
279;праздник;{"word":"праздник"}
280;влияние;{"word":"влияние"}
281;читатель;{"word":"читатель"}
282;удовольствие;{"word":"удовольствие"}
283;слеза;{"word":"слеза"}
284;учитель;{"word":"учитель"}
285;ответственность;{"word":"ответственность"}
286;множество;{"word":"множество"}
287;особенность;{"word":"особенность"}
288;показатель;{"word":"показатель"}
289;корабль;{"word":"корабль"}
290;впечатление;{"word":"впечатление"}
291;частность;{"word":"частность"}
292;детство;{"word":"детство"}
293;профессор;{"word":"профессор"}
294;норма;{"word":"норма"}
295;прошлое;{"word":"прошлое"}
296;командир;{"word":"командир"}
297;коридор;{"word":"коридор"}
298;рамка;{"word":"рамка"}
299;поддержка;{"word":"поддержка"}
300;собрание;{"word":"собрание"}
301;клетка;{"word":"клетка"}
302;болезнь;{"word":"болезнь"}
303;заявление;{"word":"заявление"}
304;сравнение;{"word":"сравнение"}
305;депутат;{"word":"депутат"}
306;комитет;{"word":"комитет"}
307;режим;{"word":"режим"}
308;целое;{"word":"целое"}
309;вирус;{"word":"вирус"}
310;здоровье;{"word":"здоровье"}
311;десяток;{"word":"десяток"}
312;глубина;{"word":"глубина"}
313;студент;{"word":"студент"}
314;скорость;{"word":"скорость"}
315;секунда;{"word":"секунда"}
316;поиск;{"word":"поиск"}
317;налог;{"word":"налог"}
318;ошибка;{"word":"ошибка"}
319;доход;{"word":"доход"}
320;поверхность;{"word":"поверхность"}
321;ощущение;{"word":"ощущение"}
322;станция;{"word":"станция"}
323;карта;{"word":"карта"}
324;революция;{"word":"революция"}
325;министерство;{"word":"министерство"}
326;колено;{"word":"колено"}
327;бабушка;{"word":"бабушка"}
328;трубка;{"word":"трубка"}
329;мастер;{"word":"мастер"}
330;поведение;{"word":"поведение"}
331;столица;{"word":"столица"}
332;передача;{"word":"передача"}
333;механизм;{"word":"механизм"}
334;способность;{"word":"способность"}
335;подход;{"word":"подход"}
336;энергия;{"word":"энергия"}
337;существование;{"word":"существование"}
338;исполнение;{"word":"исполнение"}
339;сожаление;{"word":"сожаление"}
340;заместитель;{"word":"заместитель"}
341;ресурс;{"word":"ресурс"}
342;рождение;{"word":"рождение"}
343;акция;{"word":"акция"}
344;администрация;{"word":"администрация"}
345;стоимость;{"word":"стоимость"}
346;артист;{"word":"артист"}
347;фраза;{"word":"фраза"}
348;сосед;{"word":"сосед"}
349;фигура;{"word":"фигура"}
350;субъект;{"word":"субъект"}
351;фотография;{"word":"фотография"}
352;список;{"word":"список"}
353;журналист;{"word":"журналист"}
354;нарушение;{"word":"нарушение"}
355;толпа;{"word":"толпа"}
356;больница;{"word":"больница"}
357;поколение;{"word":"поколение"}
358;усилие;{"word":"усилие"}
359;схема;{"word":"схема"}
360;отличие;{"word":"отличие"}
361;остров;{"word":"остров"}
362;противник;{"word":"противник"}
363;волна;{"word":"волна"}
364;страница;{"word":"страница"}
365;реализация;{"word":"реализация"}
366;формирование;{"word":"формирование"}
367;житель;{"word":"житель"}
368;красота;{"word":"красота"}
369;птица;{"word":"птица"}
370;растение;{"word":"растение"}
371;явление;{"word":"явление"}
372;наличие;{"word":"наличие"}
373;водка;{"word":"водка"}
374;одежда;{"word":"одежда"}
375;кресло;{"word":"кресло"}
376;больной;{"word":"больной"}
377;университет;{"word":"университет"}
378;поезд;{"word":"поезд"}
379;традиция;{"word":"традиция"}
380;ладонь;{"word":"ладонь"}
381;декабрь;{"word":"декабрь"}
382;адрес;{"word":"адрес"}
383;цветок;{"word":"цветок"}
384;октябрь;{"word":"октябрь"}
385;лидер;{"word":"лидер"}
386;сентябрь;{"word":"сентябрь"}
387;занятие;{"word":"занятие"}
388;январь;{"word":"январь"}
389;помещение;{"word":"помещение"}
390;зритель;{"word":"зритель"}
391;редакция;{"word":"редакция"}
392;стиль;{"word":"стиль"}
393;весна;{"word":"весна"}
394;известие;{"word":"известие"}
395;август;{"word":"август"}
396;охрана;{"word":"охрана"}
397;зависимость;{"word":"зависимость"}
398;оборудование;{"word":"оборудование"}
399;расход;{"word":"расход"}
400;отделение;{"word":"отделение"}
401;концерт;{"word":"концерт"}
402;милиция;{"word":"милиция"}
403;переход;{"word":"переход"}
404;эпоха;{"word":"эпоха"}
405;тайна;{"word":"тайна"}
406;собственность;{"word":"собственность"}
407;родина;{"word":"родина"}
408;произведение;{"word":"произведение"}
409;запад;{"word":"запад"}
410;трава;{"word":"трава"}
411;лагерь;{"word":"лагерь"}
412;кровать;{"word":"кровать"}
413;имущество;{"word":"имущество"}
